,CODE_GENDER,EXT_SOURCE_3,EMERGENCYSTATE_MODE,OCCUPATION_TYPE,WALLSMATERIAL_MODE,REGION_RATING_CLIENT,AMT_GOODS_PRICE,GOODS_PRICE_CREDIT_PER,DAYS_WORKING_PER,ANNUITY_DAYS_BIRTH_PERC,TARGET
474,F,0.2151824041847538,No,Sales staff,Panel,3.0,252000.0,1.0,0.008613708311860414,-1.0308894960534305,0
483,F,0.6313545365850379,No,Sales staff,Panel,2.0,1183500.0,1.1161596958174904,0.16646651270207852,-0.24723078679913213,0
487,M,0.3791004853998145,No,Managers,"Stone, brick",1.0,675000.0,1.0,0.3541530412034009,-0.36242962962962966,0
489,M,0.4866531565147181,No,Drivers,Panel,1.0,675000.0,1.2376,0.049742394504416095,-0.40436507936507937,0
492,M,0.2176285202779586,No,Sales staff,Block,2.0,180000.0,1.0,0.0323700855760883,-0.8958888888888888,1
493,F,0.6212263380626669,No,Laborers,Panel,2.0,1395000.0,1.0,0.01633490351010485,-0.3564329623310857,0
501,M,0.6195277080511546,No,Laborers,"Stone, brick",2.0,252000.0,1.4223928571428572,0.4092860976918948,-0.6638161411010155,0
510,F,0.3723336657058204,No,Cleaning staff,Panel,2.0,103500.0,1.132,0.04166898161008945,-1.5360129714968425,0
511,F,0.5989262182569273,No,Laborers,"Stone, brick",2.0,679500.0,1.0,0.13033175355450238,-0.5908590859085908,0
520,M,0.0534780873611726,No,Laborers,Panel,1.0,675000.0,1.2376,0.23701681454364956,-0.39972718253968254,0
529,F,0.3328505641648731,No,Sales staff,"Stone, brick",2.0,900000.0,1.0,0.03328062645885099,-0.502183653791617,0
531,F,0.4329616670974407,No,Laborers,"Stone, brick",2.0,1125000.0,1.1452,0.24490496122967131,-0.386864704867333,0
532,F,0.1500851762342935,No,Core staff,Panel,2.0,180000.0,1.0,0.019074575436869308,-0.9028888888888889,0
542,F,0.4118485559242397,No,Sales staff,"Stone, brick",2.0,225000.0,1.0,0.01365579733265267,-1.8503955602786633,0
549,F,0.0920128093981064,No,Laborers,Panel,2.0,238500.0,1.0,0.2509580105992662,-0.6414581208650402,0
551,F,0.7503751495159068,No,Core staff,Panel,1.0,765000.0,1.0,0.10313333041996242,-0.5982483660130719,0
554,F,0.5154953751603267,No,Managers,"Stone, brick",2.0,283500.0,1.3167936507936508,0.1901236645074451,-0.5832536002551458,0
565,F,0.746300213050371,No,High skill tech staff,Panel,3.0,454500.0,1.396,0.17689671288362674,-0.6233097856431918,0
567,F,0.375711009574066,No,Laborers,Block,2.0,652500.0,1.1584,0.06882362433435533,-0.3200723093808509,0
572,F,0.164414178829907,No,Sales staff,"Stone, brick",2.0,180000.0,1.198,0.15433616450603488,-0.7650805865503826,0
578,M,0.7789040389824382,No,Drivers,"Stone, brick",2.0,225000.0,1.396,0.021749950228946845,-1.7074144890588485,0
587,M,0.6610235391308081,No,IT staff,"Stone, brick",2.0,675000.0,1.396,0.013547477471954882,-0.6529378802433558,0
591,F,0.4830501881366946,No,High skill tech staff,"Stone, brick",3.0,900000.0,1.198,0.08058124174372523,-0.33620429851693234,0
597,M,0.7380196196295241,No,Secretaries,"Stone, brick",1.0,828000.0,1.198,0.09934524688623049,-0.700387897595035,0
601,F,0.3490552510751822,No,Sales staff,Wooden,3.0,139500.0,1.198,0.09692436846523697,-0.9686552820285356,0
604,M,0.4170996682522097,No,Laborers,"Stone, brick",2.0,585000.0,1.0,0.0979305953517988,-0.536923076923077,0
622,M,0.6363761710860439,No,Managers,"Stone, brick",1.0,1575000.0,1.0,0.08252266560783535,-0.34783509426144604,0
634,F,0.1419915427739129,No,Core staff,Panel,2.0,270000.0,1.1584,0.07232088594773449,-0.8971889010056949,0
638,F,0.524496446363472,No,Medicine staff,Panel,2.0,463500.0,1.198,0.20198286002352545,-1.0908257721565393,0
645,M,0.4578995512067301,No,Laborers,Panel,2.0,1080000.0,1.0,0.15953269668912695,-0.5921237693389592,0
647,F,0.3723336657058204,No,Laborers,"Stone, brick",3.0,180000.0,1.0,0.1690282475546211,-1.2154444444444445,0
655,F,0.4938628816996244,No,Laborers,"Stone, brick",2.0,472500.0,1.0,0.10192078618225134,-0.6718183409608123,0
658,F,0.5744466170995097,No,Laborers,Panel,2.0,675000.0,1.0,0.10645600653772815,-0.8378982927051949,0
661,F,0.6212263380626669,No,Realty agents,Panel,2.0,225000.0,1.0,0.01866643514499045,-0.7794018135065638,0
666,M,0.4650692149562261,No,Managers,"Stone, brick",2.0,805500.0,1.0,0.14469986308279886,-0.23825834642492294,0
671,F,0.5602843280409464,No,Accountants,"Stone, brick",2.0,900000.0,1.2178,0.060378879484079,-0.23468982348600942,0
692,F,0.501075160239048,No,Core staff,Panel,2.0,351000.0,1.4223974358974358,0.22301632844697167,-1.0115834190875748,0
693,F,0.2707073872651806,No,Sales staff,"Stone, brick",2.0,679500.0,1.0,0.08736388959230185,-0.3609854198089492,0
695,F,0.6832688314232291,No,Laborers,"Stone, brick",2.0,1098000.0,1.0,0.1609789143873317,-0.4077411780954354,0
700,F,0.4241303111942548,No,Sales staff,"Stone, brick",2.0,900000.0,1.0,0.0609032666297556,-0.28095555555555557,0
701,M,0.511891801533151,No,Managers,Panel,2.0,1377000.0,1.198,0.01463897131552918,-0.46327800116850537,0
702,M,0.7544061731797895,No,Managers,Panel,1.0,261000.0,1.0527931034482758,0.10250984970086094,-0.4845335313041326,0
719,F,0.5154953751603267,No,Laborers,Panel,2.0,94500.0,1.396,0.470533208606174,-2.0542172809004184,0
726,M,0.6512602186973006,No,Laborers,Panel,1.0,450000.0,1.0,0.016308427157966564,-0.48139935944813994,1
727,M,0.3296550543128238,No,Core staff,Panel,2.0,675000.0,1.2376,0.08034582132564841,-0.27906453065688736,0
730,F,0.3425288720742255,No,Core staff,Panel,1.0,675000.0,1.396,0.24870557261957,-0.32792310570088345,0
765,F,0.5832379256761245,No,Sales staff,Panel,2.0,135000.0,1.066,-16.13477934355259,-1.5220709362918137,0
774,F,0.8633633824101478,No,High skill tech staff,Panel,1.0,855000.0,1.0,0.448687928946306,-0.2897076023391813,0
776,F,0.5989262182569273,No,Medicine staff,Panel,3.0,180000.0,1.132,-16.74121098226154,-1.07570939033109,0
791,F,0.7898803468924867,No,Core staff,"Stone, brick",1.0,679500.0,1.198,0.07119698273009992,-0.6315239647319376,0
803,M,0.2225807646753351,No,Drivers,"Stone, brick",2.0,675000.0,1.0,0.042170818505338076,-0.6953724325661965,0
812,F,0.8193176922872417,No,Core staff,"Stone, brick",2.0,562500.0,1.0792,0.05354000270745905,-0.4072328344221175,0
813,F,0.5902333386185574,No,Laborers,Panel,2.0,675000.0,1.0,0.11158607672236717,-0.8715194619832112,0
817,M,0.2188590822283744,No,High skill tech staff,Panel,2.0,337500.0,1.1584,-16.476880046916587,-1.3277628032345012,1
857,F,0.8193176922872417,No,Sales staff,Panel,2.0,81000.0,1.0,0.046022054132871595,-1.2396768909224425,0
858,F,0.6956219298394389,No,Sales staff,"Stone, brick",2.0,270000.0,1.1584,-16.975413645659046,-1.5620167701186976,0
866,M,0.5602843280409464,No,Laborers,"Stone, brick",2.0,765000.0,1.0,0.5259176239843093,-0.6346158120512991,0
875,F,0.6848276586890367,No,Laborers,Panel,2.0,540000.0,1.0,-15.992074959499103,-0.8458888888888889,0
901,M,0.4294236843421945,No,Laborers,Panel,2.0,900000.0,1.1386,0.006038361354487331,-0.3031640912435614,0
917,M,0.622922000268356,No,High skill tech staff,Panel,2.0,1350000.0,1.1452,0.0835726593911545,-0.30812455063326144,0
931,M,0.6785676886853644,No,Drivers,"Stone, brick",1.0,477000.0,1.1188018867924527,0.14362127267138025,-0.4363690021060539,0
940,M,0.5298898341969072,No,Laborers,"Stone, brick",1.0,900000.0,1.0,0.3369606287312023,-0.275214475120886,0
947,F,0.6894791426446275,No,Sales staff,"Stone, brick",3.0,450000.0,1.0,0.4845696489241223,-1.0690881573968976,0
959,M,0.6738300778602003,No,Drivers,Panel,2.0,675000.0,1.1188,0.2782171631310518,-0.4228473198937334,0
968,M,0.6347055309763198,No,Laborers,Panel,2.0,270000.0,1.0,0.09124254928931683,-1.1308888888888888,0
970,M,0.6058362647264226,No,Laborers,Panel,3.0,517500.0,1.2376,0.16871618298081653,-0.44737855531715903,0
1015,F,0.6413682574954046,No,Sales staff,"Stone, brick",3.0,405000.0,1.0,-18.518633067991686,-0.9739753086419753,0
1017,F,0.5064842396679806,No,Accountants,"Stone, brick",2.0,670500.0,1.0,0.2627898185483871,-0.8097132945617794,0
1031,M,0.434733248750173,No,Laborers,Block,2.0,549000.0,1.0,0.1187231430325353,-0.5348699763593381,0
1032,M,0.1873887653772306,No,Sales staff,Panel,2.0,225000.0,1.396,0.07518649391440911,-0.6195949644225506,1
1042,M,0.1411151004466126,No,Laborers,"Stone, brick",2.0,1129500.0,1.0,0.24291091593475533,-0.27705356832481665,0
1043,M,0.5531646987710016,No,Core staff,Panel,2.0,153000.0,1.0,0.041222254251945804,-1.046337141349018,0
1044,F,0.4489622731076524,No,Sales staff,"Stone, brick",2.0,247500.0,1.0,0.07912272756679821,-1.249050505050505,0
1046,M,0.6722428897082422,No,High skill tech staff,Panel,2.0,463500.0,1.1187961165048543,0.009407704297483856,-0.81286906943596,0
1056,F,0.5971924268337128,No,Cleaning staff,Panel,3.0,900000.0,1.0,0.13742538281858294,-0.4833317652962022,0
1068,F,0.3077366963789207,No,Laborers,"Stone, brick",1.0,450000.0,1.0,0.04169153380509848,-0.555626613609986,0
1136,F,0.7366226976503176,No,Laborers,"Stone, brick",2.0,180000.0,1.0,0.12436093220901667,-1.6734444444444445,1
1140,M,0.7076993447402619,No,Laborers,Panel,2.0,454500.0,1.1583960396039603,0.023251852482752747,-0.363082537031883,0
1141,M,0.3217352821966848,No,Laborers,"Stone, brick",2.0,675000.0,1.0,0.1393681652490887,-0.28778739400297226,0
1153,F,0.7700870700124128,No,Laborers,Panel,2.0,454500.0,1.198,0.19591778065258014,-0.7863682604272635,0
1163,M,0.6397075677637197,No,Drivers,Block,2.0,112500.0,1.132,0.49105678938739006,-1.0543768662580544,0
1170,F,0.5656079814115492,No,Accountants,Block,2.0,355500.0,1.4224050632911391,0.12326848249027238,-1.004298554122704,0
1177,F,0.326475210066026,No,Cooking staff,"Stone, brick",1.0,459000.0,1.1584019607843137,0.02493393082844996,-0.44835980062594183,0
1186,F,0.3706496323299817,No,Laborers,Panel,2.0,306000.0,1.2112058823529412,0.2459859926628234,-0.8429825089864851,0
1187,M,0.6658549219640212,No,Laborers,"Stone, brick",2.0,225000.0,1.0,0.13724991522550017,-1.1107344632768361,0
1195,M,0.2822484337007223,No,Drivers,"Stone, brick",2.0,225000.0,1.198,0.2612120739411902,-0.6688054251434533,0
1196,F,0.746300213050371,No,Sales staff,"Stone, brick",2.0,180000.0,1.1056,-19.315828441482893,-0.9606767261088248,0
1218,F,0.5460231970049609,No,Sales staff,"Stone, brick",2.0,1350000.0,1.0,0.18876451731567606,-0.36912243947858475,0
1238,M,0.524496446363472,No,Drivers,Panel,2.0,180000.0,1.264,0.11983636000798244,-0.5535946087773083,0
1240,M,0.5370699579791587,No,Drivers,"Stone, brick",2.0,292500.0,1.1056,0.06950443282564218,-0.547880373016985,0
1254,M,0.633031641417419,No,Laborers,Panel,2.0,1354500.0,1.1188006644518271,0.06365328370114332,-0.45128389728821694,0
1255,M,0.2176285202779586,No,Drivers,Panel,2.0,450000.0,1.4224,0.10990396158463385,-0.8236311951551106,0
1270,M,0.3807996826489149,No,Core staff,Others,2.0,148500.0,1.264,0.050456100342075254,-1.1700646237231602,0
1272,F,0.3979463219016906,No,Laborers,Panel,2.0,301500.0,1.0791940298507463,0.3826004127639308,-0.32515163246870565,0
1297,M,0.7352209993926424,No,Laborers,Panel,2.0,603000.0,1.198,0.09783522488440521,-0.8167889790137762,0
1317,F,0.6594055320683344,No,Core staff,"Stone, brick",3.0,328500.0,1.1056027397260273,0.11711432293282055,-0.5593199757134183,0
1327,M,0.1500851762342935,No,High skill tech staff,"Stone, brick",1.0,225000.0,1.528,0.022859216255442672,-1.0235840297121634,0
1336,F,0.6879328378491735,No,Sales staff,"Stone, brick",1.0,454500.0,1.0396039603960396,0.010253839493232466,-0.475357986178809,0
1337,F,0.5585066276769286,No,Accountants,"Stone, brick",2.0,90000.0,1.198,-16.333199177175565,-4.207733559130681,0
1350,F,0.4188542886233217,No,Managers,"Stone, brick",2.0,81000.0,1.132,-15.784053586862576,-3.1393298059964727,0
1357,F,0.656158373001177,No,Laborers,Panel,2.0,630000.0,1.1188,0.2698365231259968,-0.2958637469586375,0
1362,F,0.7194907850918436,No,Sales staff,"Stone, brick",2.0,1129500.0,1.145199203187251,0.02621000160797556,-0.32775999051345905,0
1363,F,0.5691487713619409,No,Accountants,Panel,1.0,675000.0,1.2574,0.07413598151516641,-0.4417730866128051,0
1364,M,0.2164029605152194,No,Drivers,Panel,2.0,657000.0,1.0,0.2901252053708005,-0.6071895424836601,0
1367,F,0.7062051096536562,No,Laborers,"Stone, brick",2.0,225000.0,1.0,0.1440755406640268,-0.7376699247275587,0
1378,M,0.5638350489514956,No,High skill tech staff,Panel,2.0,549000.0,1.198,-17.844586671878055,-1.057286016839713,0
1399,F,0.6479768603302221,No,Core staff,Panel,2.0,180000.0,1.0,0.09605961616986525,-1.0884444444444445,0
1400,F,0.4722533429586386,No,Core staff,"Stone, brick",2.0,135000.0,1.198,0.17753352132128675,-1.3269950362733869,0
1401,F,0.1884895337951677,No,Laborers,"Stone, brick",2.0,540000.0,1.0792,0.05852063182798692,-0.4833593999630022,0
1407,M,0.4382813743111921,No,Laborers,"Stone, brick",2.0,900000.0,1.198,0.05834570704865054,-0.2986877462106389,0
1426,M,0.7850520263728172,No,High skill tech staff,"Stone, brick",1.0,540000.0,1.0,0.02559948152948801,-0.6857777777777778,0
1446,F,0.6817058776720116,No,Sales staff,Panel,3.0,1125000.0,1.1452,0.11206324635117204,-0.4785185185185185,0
1471,F,0.7001838506835805,No,Private service staff,"Stone, brick",2.0,315000.0,1.1056,0.4806806806806807,-0.6402614881753509,0
1478,F,0.7062051096536562,No,Sales staff,Panel,2.0,1129500.0,1.145199203187251,0.32395902781986785,-0.46217628191660715,0
1487,F,0.2851799046358216,No,Accountants,"Stone, brick",2.0,225000.0,1.0,-17.359458174904944,-1.5329690346083789,0
1500,M,0.8193176922872417,No,Core staff,Panel,2.0,148500.0,1.132,0.01093046248489509,-0.9067184620748046,0
1510,M,0.5919766183185521,No,Laborers,Block,2.0,454500.0,1.0,0.4099628402129155,-0.9882387970820307,0
1513,F,0.6178261467332483,No,Managers,"Stone, brick",2.0,679500.0,1.396,0.09166209878798952,-0.5892549526270456,0
1537,F,0.6279908192952864,No,Private service staff,"Stone, brick",2.0,270000.0,1.1188,0.2063946357020198,-0.43937842450372766,0
1544,F,0.6879328378491735,No,Cleaning staff,Panel,1.0,1930500.0,1.1187995337995338,-17.200857115946125,-0.3718413448909903,0
1559,M,0.3425288720742255,No,Laborers,"Stone, brick",2.0,630000.0,1.0,0.12054539820266501,-0.530093961495499,0
1561,F,0.2091546988410069,No,Sales staff,Block,2.0,265500.0,1.1187966101694915,-17.74833568200593,-0.9212552600949055,0
